BETROFFENE_ANLAGE;massnahmen;arbeit_mwh;pmax_mw;primaerenergie;kumuliert
WP_GREVENBROICH;1;4,0;9,0;Erneuerbar;0,9999982660459437
OWP BARD Offshore 1 AC103 (kurativ);1;3,9;12,32;Erneuerbar;0,9999985021639891
OWP BARD Offshore 1 AC102 (kurativ);1;3,43;10,52;Erneuerbar;0,9999987098267829
OWP Deutsche Bucht AC153 (kurativ);1;3,36;10,68;Erneuerbar;0,9999989132515604
OWP Deutsche Bucht AC152 (kurativ);1;3,18;10,14;Erneuerbar;0,999999105778582
AMP_WESTNETZ_DORTMUND_CR_WIND;1;3,0;1,0;Erneuerbar;0,9999992874078477
OWP Albatros AC151 (kurativ);1;2,11;6,79;Erneuerbar;0,9999994151537646
AMP_WESTNETZ_MUELHEIM_CR_WIND;1;2,0;1,0;Erneuerbar;0,9999995362399416
Baden-Württemberg Nord EE;1;1,19;4,76;Erneuerbar;0,999999608286217
AMP_WESTNETZ_EMSLAND_CR_SONSTIGE_EE;1;1,0;3,0;Sonstiges;0,9999996688293056
WP_JUECHEN A44N;1;1,0;3,0;Erneuerbar;0,9999997293723942
Baden-Württemberg Nord-Ost EE;1;0,97;3,88;Erneuerbar;0,9999997880991901
Baden-Württemberg Süd-Ost EE;1;0,94;3,77;Erneuerbar;0,9999998450096933
Baden-Württemberg Mitte EE;3;0,77;1,04;Erneuerbar;0,9999998916278715
Stuttgart Umland Nord EE;1;0,33;1,31;Erneuerbar;0,9999999116070908
Baden-Württemberg West EE;1;0,33;1,32;Erneuerbar;0,99999993158631
Baden-Württemberg Nord-West EE;1;0,3;1,2;Erneuerbar;0,9999999497492366
Baden-Württemberg Süd EE;1;0,29;1,15;Erneuerbar;0,9999999673067322
Stuttgart Umland Ost EE;1;0,28;1,11;Erneuerbar;0,999999984258797
Stuttgart Umland Süd EE;1;0,26;1,02;Erneuerbar;1,0
