2024: 4392 Zeitscheiben gelesen
2025: 4380 Zeitscheiben gelesen
2026: 1452 Zeitscheiben gelesen

### 2024, Richtung pos
| Monat | Zeitscheiben | Leistungspreis Mittel | Median | Grenzpreis | angebotene Menge MW | Saldo MW |
| 1 | 2.6 | 7.8 | 13.4 | 8.0 | 21.0 | 4.3 |
| 2 | 2.1 | 6.7 | 11.9 | 7.1 | 14.8 | 4.1 |
| 3 | 2.8 | 9.4 | 10.1 | 4.7 | 27.5 | 7.1 |
| 4 | 3.3 | 9.1 | 16.2 | 6.1 | 16.3 | 15.9 |
| 5 | 3.2 | 7.7 | 9.8 | 3.4 | 10.3 | 15.7 |

### 2026, neg, Leistungspreis je Vier-Stunden-Produkt und Monat
| Monat | 00_04 | 04_08 | 08_12 | 12_16 | 16_20 | 20_24 |
|---|---|---|---|---|---|---|
| 1 | 4.7 | 4.6 | 1.9 | 2.2 | 0.9 | 1.5 |
| 2 | 4.3 | 3.2 | 1.9 | 5.3 | 0.6 | 1.0 |
| 3 | 4.3 | 3.0 | 19.7 | 40.7 | 1.9 | 1.2 |
| 4 | 2.7 | 2.1 | 28.9 | 67.9 | 20.1 | 1.0 |
| 5 | 0.9 | 0.7 | 54.6 | 146.7 | 41.7 | 0.8 |
