produkt,datum_excel,zeitscheibe,durchschnittspreis_de_eur_mw_h,hoechster_zuschlag_de_eur_mw_h
mFRR,45675.0,POS_12_16,4.09,4.54
mFRR,45675.0,POS_16_20,11.85,13.9
mFRR,45675.0,POS_20_24,2.59,3.09
mFRR,45675.0,NEG_00_04,0.78,0.87
mFRR,45675.0,NEG_04_08,0.61,0.73
mFRR,45675.0,NEG_08_12,0.36,0.43
mFRR,45675.0,NEG_12_16,0.3,0.38
mFRR,45675.0,NEG_16_20,0.29,0.39
mFRR,45675.0,NEG_20_24,0.36,0.4
mFRR,45676.0,POS_00_04,0.35,0.48
mFRR,45676.0,POS_04_08,1.66,2.1
mFRR,45676.0,POS_08_12,3.62,4.08
mFRR,45676.0,POS_12_16,1.99,2.6
mFRR,45676.0,POS_16_20,5.64,7.0
mFRR,45676.0,POS_20_24,1.64,2.02
mFRR,45676.0,NEG_00_04,0.61,0.75
mFRR,45676.0,NEG_04_08,0.2,0.5
mFRR,45676.0,NEG_08_12,0.41,0.67
mFRR,45676.0,NEG_12_16,0.49,0.59
mFRR,45676.0,NEG_16_20,0.29,0.36
mFRR,45676.0,NEG_20_24,0.29,0.36
mFRR,45677.0,POS_00_04,0.38,0.49
mFRR,45677.0,POS_04_08,4.45,6.38
mFRR,45677.0,POS_08_12,14.11,26.87
mFRR,45677.0,POS_12_16,3.04,4.75
mFRR,45677.0,POS_16_20,38.77,60.77
mFRR,45677.0,POS_20_24,3.66,6.23
mFRR,45677.0,NEG_00_04,0.63,0.82
mFRR,45677.0,NEG_04_08,0.48,0.77
mFRR,45677.0,NEG_08_12,0.33,0.42
mFRR,45677.0,NEG_12_16,0.31,0.4
mFRR,45677.0,NEG_16_20,0.18,0.27
mFRR,45677.0,NEG_20_24,0.27,0.38
mFRR,45678.0,POS_00_04,0.37,0.42
mFRR,45678.0,POS_04_08,6.07,7.5
mFRR,45678.0,POS_08_12,28.91,35.75
mFRR,45678.0,POS_12_16,4.67,5.93
mFRR,45678.0,POS_16_20,71.56,116.0
mFRR,45678.0,POS_20_24,5.11,6.5
mFRR,45678.0,NEG_00_04,0.56,0.75
mFRR,45678.0,NEG_04_08,0.47,0.64
mFRR,45678.0,NEG_08_12,0.31,0.42
mFRR,45678.0,NEG_12_16,0.25,0.35
mFRR,45678.0,NEG_16_20,0.19,0.26
mFRR,45678.0,NEG_20_24,0.3,0.38
mFRR,45679.0,POS_00_04,0.28,0.33
mFRR,45679.0,POS_04_08,4.61,5.32
mFRR,45679.0,POS_08_12,16.74,19.79
mFRR,45679.0,POS_12_16,3.19,3.7
mFRR,45679.0,POS_16_20,34.98,43.0
mFRR,45679.0,POS_20_24,3.3,4.1
mFRR,45679.0,NEG_00_04,0.4,0.46
mFRR,45679.0,NEG_04_08,0.32,0.38
mFRR,45679.0,NEG_08_12,0.24,0.28
mFRR,45679.0,NEG_12_16,0.22,0.25
mFRR,45679.0,NEG_16_20,0.17,0.25
mFRR,45679.0,NEG_20_24,0.23,0.25
mFRR,45680.0,POS_00_04,0.2,0.3
mFRR,45680.0,POS_04_08,2.75,3.2
mFRR,45680.0,POS_08_12,8.67,9.48
mFRR,45680.0,POS_12_16,2.34,2.98
mFRR,45680.0,POS_16_20,16.52,18.44
mFRR,45680.0,POS_20_24,2.26,2.8
mFRR,45680.0,NEG_00_04,0.47,0.57
mFRR,45680.0,NEG_04_08,0.42,0.52
mFRR,45680.0,NEG_08_12,0.28,0.33
mFRR,45680.0,NEG_12_16,0.28,0.34
mFRR,45680.0,NEG_16_20,0.23,0.3
mFRR,45680.0,NEG_20_24,2.83,10.0
mFRR,45681.0,POS_00_04,0.18,0.23
mFRR,45681.0,POS_04_08,1.87,2.18
mFRR,45681.0,POS_08_12,5.31,6.5
mFRR,45681.0,POS_12_16,1.58,1.9
mFRR,45681.0,POS_16_20,7.63,8.85
mFRR,45681.0,POS_20_24,1.63,1.99
mFRR,45681.0,NEG_00_04,15.4,33.3
mFRR,45681.0,NEG_04_08,6.67,11.4
mFRR,45681.0,NEG_08_12,0.26,0.3
mFRR,45681.0,NEG_12_16,1.28,2.4
mFRR,45681.0,NEG_16_20,1.6,4.0
mFRR,45681.0,NEG_20_24,7.9,21.66
mFRR,45682.0,POS_00_04,0.13,0.19
mFRR,45682.0,POS_04_08,1.17,1.42
mFRR,45682.0,POS_08_12,3.16,3.8
mFRR,45682.0,POS_12_16,1.06,1.28
mFRR,45682.0,POS_16_20,6.02,7.2
mFRR,45682.0,POS_20_24,1.36,1.62
mFRR,45682.0,NEG_00_04,5.53,6.3
mFRR,45682.0,NEG_04_08,3.31,4.49
mFRR,45682.0,NEG_08_12,0.23,0.34
mFRR,45682.0,NEG_12_16,1.7,4.4
mFRR,45682.0,NEG_16_20,0.55,0.74
mFRR,45682.0,NEG_20_24,3.9,4.99
mFRR,45683.0,POS_00_04,0.12,0.15
mFRR,45683.0,POS_04_08,0.82,1.05
mFRR,45683.0,POS_08_12,2.08,2.48
mFRR,45683.0,POS_12_16,0.71,0.84
mFRR,45683.0,POS_16_20,4.16,5.34
mFRR,45683.0,POS_20_24,0.93,1.23
mFRR,45683.0,NEG_00_04,2.1,2.54
mFRR,45683.0,NEG_04_08,1.32,1.75
mFRR,45683.0,NEG_08_12,0.42,0.9
mFRR,45683.0,NEG_12_16,1.0,2.04
mFRR,45683.0,NEG_16_20,0.4,0.43
mFRR,45683.0,NEG_20_24,8.53,13.0
mFRR,45684.0,POS_00_04,0.08,0.1
mFRR,45684.0,POS_04_08,0.84,1.4
mFRR,45684.0,POS_08_12,2.38,3.37
mFRR,45684.0,POS_12_16,0.82,1.45
mFRR,45684.0,POS_16_20,7.22,9.81
mFRR,45684.0,POS_20_24,1.08,1.63
mFRR,45684.0,NEG_00_04,40.61,61.1
mFRR,45684.0,NEG_04_08,25.31,40.64
mFRR,45684.0,NEG_08_12,4.14,7.01
mFRR,45684.0,NEG_12_16,13.76,30.0
mFRR,45684.0,NEG_16_20,0.45,0.5
mFRR,45684.0,NEG_20_24,8.37,18.59
mFRR,45685.0,POS_00_04,0.08,0.11
mFRR,45685.0,POS_04_08,1.49,2.4
mFRR,45685.0,POS_08_12,3.0,3.7
mFRR,45685.0,POS_12_16,1.18,1.52
mFRR,45685.0,POS_16_20,5.89,7.18
mFRR,45685.0,POS_20_24,1.1,1.4
mFRR,45685.0,NEG_00_04,13.68,19.5
mFRR,45685.0,NEG_04_08,8.76,13.5
mFRR,45685.0,NEG_08_12,0.84,1.35
mFRR,45685.0,NEG_12_16,3.45,4.9
mFRR,45685.0,NEG_16_20,0.28,0.3
mFRR,45685.0,NEG_20_24,4.38,7.44
mFRR,45686.0,POS_00_04,0.09,0.12
mFRR,45686.0,POS_04_08,5.83,11.7
mFRR,45686.0,POS_08_12,3.11,3.9
mFRR,45686.0,POS_12_16,1.69,2.5
mFRR,45686.0,POS_16_20,4.68,5.79
mFRR,45686.0,POS_20_24,0.99,1.14
mFRR,45686.0,NEG_00_04,9.4,11.0
mFRR,45686.0,NEG_04_08,6.07,7.73
mFRR,45686.0,NEG_08_12,0.93,1.29
mFRR,45686.0,NEG_12_16,3.74,5.01
mFRR,45686.0,NEG_16_20,0.34,1.0
mFRR,45686.0,NEG_20_24,3.28,4.07
mFRR,45687.0,POS_00_04,0.13,0.18
mFRR,45687.0,POS_04_08,2.6,3.58
mFRR,45687.0,POS_08_12,3.23,3.9
mFRR,45687.0,POS_12_16,1.76,2.0
mFRR,45687.0,POS_16_20,15.32,25.62
mFRR,45687.0,POS_20_24,1.1,1.34
mFRR,45687.0,NEG_00_04,4.42,4.72
mFRR,45687.0,NEG_04_08,3.45,4.1
mFRR,45687.0,NEG_08_12,0.64,0.91
mFRR,45687.0,NEG_12_16,1.82,2.28
mFRR,45687.0,NEG_16_20,0.41,0.54
mFRR,45687.0,NEG_20_24,1.97,2.39
mFRR,45688.0,POS_00_04,0.1,0.14
mFRR,45688.0,POS_04_08,1.76,2.07
mFRR,45688.0,POS_08_12,2.48,2.9
mFRR,45688.0,POS_12_16,1.19,1.5
mFRR,45688.0,POS_16_20,14.43,17.25
mFRR,45688.0,POS_20_24,0.94,1.08
mFRR,45688.0,NEG_00_04,2.38,2.7
mFRR,45688.0,NEG_04_08,2.07,2.47
mFRR,45688.0,NEG_08_12,0.53,0.72
mFRR,45688.0,NEG_12_16,1.17,1.39
mFRR,45688.0,NEG_16_20,0.32,0.45
mFRR,45688.0,NEG_20_24,1.25,1.58
mFRR,45689.0,POS_00_04,0.11,0.12
mFRR,45689.0,POS_04_08,1.04,1.2
mFRR,45689.0,POS_08_12,1.47,1.68
mFRR,45689.0,POS_12_16,0.82,0.95
mFRR,45689.0,POS_16_20,7.04,8.5
mFRR,45689.0,POS_20_24,0.71,0.81
mFRR,45689.0,NEG_00_04,1.44,1.71
mFRR,45689.0,NEG_04_08,1.39,1.65
mFRR,45689.0,NEG_08_12,0.52,0.71
mFRR,45689.0,NEG_12_16,0.99,1.13
mFRR,45689.0,NEG_16_20,0.38,0.49
mFRR,45689.0,NEG_20_24,0.99,1.14
mFRR,45690.0,POS_00_04,0.09,0.1
mFRR,45690.0,POS_04_08,0.71,0.88
mFRR,45690.0,POS_08_12,0.97,1.11
mFRR,45690.0,POS_12_16,0.63,0.74
mFRR,45690.0,POS_16_20,4.5,5.12
mFRR,45690.0,POS_20_24,0.58,0.66
mFRR,45690.0,NEG_00_04,1.06,1.29
mFRR,45690.0,NEG_04_08,0.99,1.16
mFRR,45690.0,NEG_08_12,0.54,0.73
mFRR,45690.0,NEG_12_16,0.95,1.33
mFRR,45690.0,NEG_16_20,0.4,0.55
mFRR,45690.0,NEG_20_24,0.82,1.0
mFRR,45691.0,POS_00_04,0.09,0.1
mFRR,45691.0,POS_04_08,5.18,7.0
mFRR,45691.0,POS_08_12,14.52,33.28
mFRR,45691.0,POS_12_16,1.62,3.6
mFRR,45691.0,POS_16_20,56.95,84.0
mFRR,45691.0,POS_20_24,1.59,3.57
mFRR,45691.0,NEG_00_04,0.93,1.1
mFRR,45691.0,NEG_04_08,0.82,1.02
mFRR,45691.0,NEG_08_12,0.47,0.6
mFRR,45691.0,NEG_12_16,0.79,1.06
mFRR,45691.0,NEG_16_20,0.38,0.51
mFRR,45691.0,NEG_20_24,0.7,0.88
mFRR,45692.0,POS_00_04,0.08,0.09
mFRR,45692.0,POS_04_08,3.49,4.99
mFRR,45692.0,POS_08_12,11.4,14.9
mFRR,45692.0,POS_12_16,1.52,1.9
mFRR,45692.0,POS_16_20,29.0,32.4
mFRR,45692.0,POS_20_24,1.57,1.98
mFRR,45692.0,NEG_00_04,0.74,0.95
mFRR,45692.0,NEG_04_08,0.77,1.01
mFRR,45692.0,NEG_08_12,0.47,0.6
mFRR,45692.0,NEG_12_16,0.92,1.12
mFRR,45692.0,NEG_16_20,0.4,0.5
mFRR,45692.0,NEG_20_24,0.77,1.05
mFRR,45693.0,POS_00_04,0.06,0.11
mFRR,45693.0,POS_04_08,2.97,3.48
mFRR,45693.0,POS_08_12,8.82,10.1
mFRR,45693.0,POS_12_16,1.97,2.85
mFRR,45693.0,POS_16_20,16.78,24.85
mFRR,45693.0,POS_20_24,1.25,1.54
mFRR,45693.0,NEG_00_04,0.63,0.73
mFRR,45693.0,NEG_04_08,0.65,0.77
mFRR,45693.0,NEG_08_12,0.43,0.59
mFRR,45693.0,NEG_12_16,0.66,0.89
mFRR,45693.0,NEG_16_20,0.31,0.37
mFRR,45693.0,NEG_20_24,0.61,0.71
mFRR,45694.0,POS_00_04,0.08,0.11
mFRR,45694.0,POS_04_08,2.92,3.34
mFRR,45694.0,POS_08_12,8.6,9.99
mFRR,45694.0,POS_12_16,1.48,1.88
mFRR,45694.0,POS_16_20,13.19,15.99
mFRR,45694.0,POS_20_24,1.12,1.4
mFRR,45694.0,NEG_00_04,0.47,0.54
mFRR,45694.0,NEG_04_08,0.48,0.55
mFRR,45694.0,NEG_08_12,0.26,0.31
mFRR,45694.0,NEG_12_16,0.35,0.5
mFRR,45694.0,NEG_16_20,0.21,0.25
mFRR,45694.0,NEG_20_24,0.44,0.52
mFRR,45695.0,POS_00_04,0.09,0.14
mFRR,45695.0,POS_04_08,1.86,2.54
mFRR,45695.0,POS_08_12,5.2,5.92
mFRR,45695.0,POS_12_16,1.05,1.24
mFRR,45695.0,POS_16_20,7.48,8.99
mFRR,45695.0,POS_20_24,0.87,1.02
mFRR,45695.0,NEG_00_04,0.32,0.35
mFRR,45695.0,NEG_04_08,0.37,0.41
mFRR,45695.0,NEG_08_12,0.2,0.24
mFRR,45695.0,NEG_12_16,0.33,0.4
mFRR,45695.0,NEG_16_20,0.18,0.22
mFRR,45695.0,NEG_20_24,0.38,0.44
mFRR,45696.0,POS_00_04,0.08,0.1
mFRR,45696.0,POS_04_08,1.13,1.4
mFRR,45696.0,POS_08_12,2.7,3.3
mFRR,45696.0,POS_12_16,0.66,0.8
mFRR,45696.0,POS_16_20,5.01,6.01
mFRR,45696.0,POS_20_24,0.64,0.79
mFRR,45696.0,NEG_00_04,0.23,0.28
mFRR,45696.0,NEG_04_08,0.3,0.39
mFRR,45696.0,NEG_08_12,0.19,0.24
mFRR,45696.0,NEG_12_16,0.24,0.31
mFRR,45696.0,NEG_16_20,0.16,0.2
mFRR,45696.0,NEG_20_24,0.21,0.29
mFRR,45697.0,POS_00_04,0.07,0.1
mFRR,45697.0,POS_04_08,0.82,0.94
mFRR,45697.0,POS_08_12,1.72,2.14
mFRR,45697.0,POS_12_16,0.52,0.65
mFRR,45697.0,POS_16_20,3.58,4.32
mFRR,45697.0,POS_20_24,0.5,0.63
mFRR,45697.0,NEG_00_04,0.16,0.17
mFRR,45697.0,NEG_04_08,0.17,0.19
mFRR,45697.0,NEG_08_12,0.13,0.17
mFRR,45697.0,NEG_12_16,0.18,0.2
mFRR,45697.0,NEG_16_20,0.14,0.18
mFRR,45697.0,NEG_20_24,0.16,0.2
mFRR,45698.0,POS_00_04,0.08,0.1
mFRR,45698.0,POS_04_08,1.62,4.61
mFRR,45698.0,POS_08_12,4.08,7.5
mFRR,45698.0,POS_12_16,0.56,0.9
mFRR,45698.0,POS_16_20,4.12,4.7
mFRR,45698.0,POS_20_24,0.48,0.58
mFRR,45698.0,NEG_00_04,0.13,0.18
mFRR,45698.0,NEG_04_08,0.15,0.19
mFRR,45698.0,NEG_08_12,0.13,0.2
mFRR,45698.0,NEG_12_16,0.17,0.22
mFRR,45698.0,NEG_16_20,0.16,0.19
mFRR,45698.0,NEG_20_24,0.19,0.24
mFRR,45699.0,POS_00_04,0.07,0.1
mFRR,45699.0,POS_04_08,1.95,2.83
mFRR,45699.0,POS_08_12,3.35,4.01
mFRR,45699.0,POS_12_16,0.92,1.54
mFRR,45699.0,POS_16_20,3.86,4.76
mFRR,45699.0,POS_20_24,0.46,0.59
mFRR,45699.0,NEG_00_04,11.86,24.52
mFRR,45699.0,NEG_04_08,3.94,6.92
mFRR,45699.0,NEG_08_12,0.27,0.71
mFRR,45699.0,NEG_12_16,0.25,0.5
mFRR,45699.0,NEG_16_20,0.15,0.2
mFRR,45699.0,NEG_20_24,0.14,0.2
mFRR,45700.0,POS_00_04,0.08,0.1
mFRR,45700.0,POS_04_08,2.35,2.83
mFRR,45700.0,POS_08_12,4.85,6.11
mFRR,45700.0,POS_12_16,0.99,1.16
mFRR,45700.0,POS_16_20,7.2,12.11
mFRR,45700.0,POS_20_24,0.49,0.59
mFRR,45700.0,NEG_00_04,3.34,4.08
mFRR,45700.0,NEG_04_08,1.47,1.9
mFRR,45700.0,NEG_08_12,0.39,0.6
mFRR,45700.0,NEG_12_16,0.32,0.5
mFRR,45700.0,NEG_16_20,0.2,0.35
mFRR,45700.0,NEG_20_24,0.16,0.31
mFRR,45701.0,POS_00_04,0.08,0.1
mFRR,45701.0,POS_04_08,2.55,2.82
mFRR,45701.0,POS_08_12,5.43,6.12
mFRR,45701.0,POS_12_16,0.88,1.0
