MaStRNummer,EinheitName,BetriebsStatusName,Bundesland,InbetriebnahmeDatum,StromspeichertechnologieBezeichnung,Stromspeichertechnologie,Batterietechnologie,Bruttoleistung,Nettonennleistung,NutzbareSpeicherkapazitaet,SpeicherEinheitMastrNummer
SEE903926257506,KW Häusern MS A2,In Betrieb,Baden-Württemberg,/Date(-1202428800000)/,Pumpspeicher,1537,,30000.0,30000.0,45414500.0,SSE915227643667
SEE994506958166,PSW Hohenwarte 1 PSS B,Endgültig stillgelegt,Thüringen,/Date(-327283200000)/,Pumpspeicher,1537,,30000.0,29900.0,14645000.0,SSE997955783037
SEE933174373390,PSW Hohenwarte 1 PSS A,Endgültig stillgelegt,Thüringen,/Date(-343612800000)/,Pumpspeicher,1537,,30000.0,29900.0,14645000.0,SSE997955783037
SEE909599581535,Pfreimd T1,In Betrieb,Bayern,/Date(-347155200000)/,Pumpspeicher,1537,,29000.0,29000.0,604000.0,SSE960345629581
SEE983429560709,BESS Neubrandenburg,In Planung,Mecklenburg-Vorpommern,,Batterie,524,727,26340.0,26340.0,52800.0,SSE989042428105
SEE920510769771,BESS Sandhagen,In Planung,Mecklenburg-Vorpommern,,Batterie,524,727,25200.0,25200.0,50150.0,SSE901578558910
SEE958262376688,Großbatteriespeicher Irsingen,In Planung,Bayern,,Batterie,524,727,25200.0,25200.0,50150.0,SSE960389743229
SEE906749239827,Stromspeicher Jesow,In Planung,Mecklenburg-Vorpommern,,Batterie,524,727,25000.0,25000.0,60000.0,SSE955041006989
SEE932517266092,BESS_Werle,In Planung,Mecklenburg-Vorpommern,,Batterie,524,727,25000.0,25000.0,50000.0,SSE978515301946
SEE905820921729,Batteriespeicher JT Energy Systems GmbH,In Betrieb,Sachsen,/Date(1661990400000)/,Batterie,524,727,25000.0,25000.0,23000.0,SSE919503543801
SEE969402572525,BESS_Klevenow,In Planung,Mecklenburg-Vorpommern,,Batterie,524,727,25000.0,25000.0,50000.0,SSE909430049446
SEE927922085253,BESS-Einbeck,In Betrieb,Niedersachsen,/Date(1767830400000)/,Batterie,524,727,24500.0,24500.0,64000.0,SSE919368943365
SEE943600523558,BES NM,In Betrieb,Schleswig-Holstein,/Date(1705968000000)/,Batterie,524,727,24500.0,24500.0,23830.0,SSE986835588732
SEE966769248636,Batteriespeicher Photovoltaik LAKO Angern,In Planung,Sachsen-Anhalt,,Batterie,524,727,24000.0,24000.0,48000.0,SSE930950834656
SEE909212211870,SMAREG6 Gunzenhausen,In Betrieb,Bayern,/Date(1706572800000)/,Batterie,524,727,24000.0,24000.0,24000.0,SSE989607648269
SEE908517074623,Kyon-26 Battery Storage,In Planung,Sachsen-Anhalt,,Batterie,524,727,23700.0,23700.0,47100.0,SSE996361644314
SEE935322911287,TEP Vesta GmbH ＆ Co KG (Speicher),In Planung,Mecklenburg-Vorpommern,,Batterie,524,727,22563.0,22563.0,42360.0,SSE969199190452
SEE937755233493,BESS Löwenberger Land II,In Betrieb,Brandenburg,/Date(1783209600000)/,Batterie,524,727,22500.0,22500.0,45000.0,SSE983134959706
SEE966514154441,Batteriespeicher,In Planung,Niedersachsen,,Batterie,524,727,22396.0,22396.0,40000.0,SSE932466207689
SEE953508633730,SWM Leitzach 2 M21,In Betrieb,Bayern,/Date(443059200000)/,Pumpspeicher,1537,,22000.0,22000.0,620000.0,SSE986224059607
SEE932484697615,SWM Leitzach 2 M22,In Betrieb,Bayern,/Date(-286675200000)/,Pumpspeicher,1537,,22000.0,22000.0,620000.0,SSE986224059607
SEE930267705700,WKW Rudolf-Fettweis-Werk PSW Schwarzenbach M6,In Betrieb,Baden-Württemberg,/Date(-1388534400000)/,Pumpspeicher,1537,,21700.0,21500.0,10500000.0,SSE929991207284
SEE956596589897,Speicher Karstädt,In Betrieb,Brandenburg,/Date(1740700800000)/,Batterie,524,727,20700.0,20700.0,35000.0,SSE952271399782
SEE995000682977,Batterie Diespeck,In Betrieb,Bayern,/Date(1662595200000)/,Batterie,524,727,20700.0,20700.0,20700.0,SSE976359478473
SEE934353123843,Batterie Iphofen,In Betrieb,Bayern,/Date(1666051200000)/,Batterie,524,727,20700.0,20700.0,20100.0,SSE993502752778
SEE901523079712,SMAREG8 Calbe,In Betrieb,Sachsen-Anhalt,/Date(1721001600000)/,Batterie,524,727,20500.0,20500.0,22350.0,SSE906884725179
SEE906033730153,Gumtow_SO3/4 Speicher,In Betrieb,Brandenburg,/Date(1787011200000)/,Batterie,524,727,20448.0,20448.0,39034.0,SSE956567399913
SEE950318426620,Gumtow_SO2 Speicher,In Betrieb,Brandenburg,/Date(1786924800000)/,Batterie,524,727,20448.0,20448.0,40120.0,SSE913805594363
SEE958354990617,BES ELS,In Betrieb,Sachsen-Anhalt,/Date(1704067200000)/,Batterie,524,728,20295.0,20295.0,31680.0,SSE994573183249
SEE999239610039,trlyr 8,In Betrieb,Niedersachsen,/Date(1779062400000)/,Batterie,524,727,20190.0,20190.0,40610.0,SSE962988554367
SEE961106724866,ASE Elsterheide BESS,In Planung,Sachsen,,Batterie,524,727,20160.0,20160.0,80240.0,SSE968330348561
SEE941340244788,Großbatteriespeicher Irsingen,In Planung,Bayern,,Batterie,524,727,20160.0,20160.0,40120.0,SSE940224614051
SEE962311804787,Großbatteriespeicher Schwenningen,In Planung,Bayern,,Batterie,524,727,20160.0,20160.0,40120.0,SSE942652826181
SEE995961117358,Stätzling BESS,In Planung,Bayern,,Batterie,524,,20124.0,20124.0,80496.0,SSE976825007107
SEE972880386287,Speicher 3,In Betrieb,Schleswig-Holstein,/Date(1765843200000)/,Batterie,524,727,20000.0,20000.0,40000.0,SSE907618799916
SEE913795928759,SMAREG9 Freiberg,In Betrieb,Sachsen,/Date(1707696000000)/,Batterie,524,727,20000.0,20000.0,20260.0,SSE912485425028
SEE976804994770,20 MW Batteriespeicher,In Planung,Sachsen-Anhalt,,Batterie,524,727,20000.0,20000.0,20000.0,SSE944226710360
SEE974972238993,Batteriespeicher Knetzgau,In Planung,Bayern,,Batterie,524,727,20000.0,20000.0,45860.0,SSE906812302861
SEE945365634999,Tibo Photovoltaik Gottesgabe 3 - Speicher,In Planung,Brandenburg,,Batterie,524,732,25000.0,20000.0,20000.0,SSE935642318704
SEE965880473101,BESS Winterschneidbach,In Planung,Bayern,,Batterie,524,732,20000.0,20000.0,100300.0,SSE935328037431
SEE955042192971,PowerCenter Salzgitter 1,In Planung,Niedersachsen,,Batterie,524,727,20000.0,20000.0,40000.0,SSE923229693269
SEE926245506438,SEE_2025_4642_Föhren_BESS,In Betrieb,Rheinland-Pfalz,/Date(1766016000000)/,Batterie,524,727,20000.0,20000.0,55165.0,SSE997517372877
SEE975589067112,Kyon-100 Battery Storage,In Planung,Schleswig-Holstein,,Batterie,524,727,20000.0,20000.0,46200.0,SSE940842521717
SEE998104599486,Batteriespeicher Holzkirchen,In Planung,Bayern,,Batterie,524,727,20000.0,20000.0,45000.0,SSE934454280148
SEE973768834586,PSW Niederwartha PSS D,Endgültig stillgelegt,Sachsen,/Date(-372297600000)/,Pumpspeicher,1537,,20000.0,19900.0,591000.0,SSE925858442348
SEE972367491114,PSW Niederwartha PSS C,Endgültig stillgelegt,Sachsen,/Date(-374198400000)/,Pumpspeicher,1537,,20000.0,19900.0,591000.0,SSE925858442348
SEE940678297886,Kyon-41 Battery Storage,In Betrieb,Rheinland-Pfalz,/Date(1776988800000)/,Batterie,524,727,19800.0,19800.0,41000.0,SSE995318973811
SEE974247615207,PV-Batteriespeicher Overath 1,In Planung,Nordrhein-Westfalen,,Batterie,524,727,20000.0,19800.0,40120.0,SSE909998398345
SEE967076530902,SMAREG12 Vöhringen I,In Betrieb,Bayern,/Date(1756425600000)/,Batterie,524,727,19600.0,19600.0,41649.0,SSE930545054865
SEE913676481137,TEP Flora GmbH ＆ Co KG (Speicher),In Planung,Brandenburg,,Batterie,524,727,18400.0,18400.0,37000.0,SSE923969676768
SEE983264343635,Schaper Grid Energy Storage Herford,In Betrieb,Nordrhein-Westfalen,/Date(1670976000000)/,Batterie,524,727,18100.0,18000.0,41600.0,SSE934673235967
SEE913862454280,Hybridregelkraftwerk,In Betrieb,Bremen,/Date(1552262400000)/,Batterie,524,727,18000.0,18000.0,14200.0,SSE910097353135
SEE995184714136,Solar Zerbst Batterie,In Betrieb,Sachsen-Anhalt,/Date(1760054400000)/,Batterie,524,727,17560.0,17560.0,57500.0,SSE909034584664
SEE970332184511,BESS Grevesmühlen,In Betrieb,Mecklenburg-Vorpommern,/Date(1785542400000)/,Batterie,524,727,17280.0,17280.0,43973.0,SSE944774455669
SEE900288873931,BESS Tirpersdorf,In Planung,Sachsen,,Batterie,524,727,17250.0,17250.0,50150.0,SSE927714961024
SEE976352702957,trlyr 9,In Betrieb,Niedersachsen,/Date(1773273600000)/,Batterie,524,727,17250.0,17250.0,38225.0,SSE915691830556
SEE966091400436,Q_ESS_Elverlingsen,In Betrieb,Nordrhein-Westfalen,/Date(1498867200000)/,Batterie,524,727,17080.0,17080.0,18149.0,SSE987360535918
SEE945378101358,VPI Bad Wildungen BESS,In Planung,Hessen,,Batterie,524,727,17000.0,17000.0,40000.0,SSE954771795002
SEE976362409624,BES GRO,In Betrieb,Sachsen,/Date(1563408000000)/,Batterie,524,728,17250.0,16425.0,25500.0,SSE988779675417
SEE963081865633,BES BEN,In Betrieb,Sachsen,/Date(1542153600000)/,Batterie,524,728,16425.0,16425.0,25500.0,SSE940380794697
SEE963374030953,Batterie Rechtenbach,In Betrieb,Hessen,/Date(1671580800000)/,Batterie,524,727,16000.0,16000.0,16566.0,SSE912467412916
SEE947399244915,Field Waldkappel,In Betrieb,Hessen,/Date(1764115200000)/,Batterie,524,727,16000.0,16000.0,33400.0,SSE995533411822
SEE923801709234,Batterie Schwabmünchen,In Betrieb,Bayern,/Date(1671667200000)/,Batterie,524,727,16000.0,16000.0,16566.0,SSE955480078998
SEE900291433160,Hybridspeicher AU,In Betrieb,Bayern,/Date(1532995200000)/,Batterie,524,727,16000.0,16000.0,8536.0,SSE991759625937
SEE901268232014,trlyr 4,In Betrieb,Sachsen,/Date(1764720000000)/,Batterie,524,727,15804.0,15804.0,32490.0,SSE989000925035
SEE921068308450,Speicher Tangermünde,In Betrieb,Sachsen-Anhalt,/Date(1731283200000)/,Batterie,524,727,15800.0,15800.0,34450.0,SSE916230550683
SEE953815288937,BESS Immenstadt,In Betrieb,Bayern,/Date(1749081600000)/,Batterie,524,727,15800.0,15800.0,32584.0,SSE913970590269
SEE910324388312,Batteriespeicher Chemnitz GmbH ＆ Co. KG,In Betrieb,Sachsen,/Date(1492992000000)/,Batterie,524,727,15800.0,15800.0,15900.0,SSE985950438502
SEE933996098181,BESS Löwenberger Land I,In Betrieb,Brandenburg,/Date(1783209600000)/,Batterie,524,727,15750.0,15750.0,31500.0,SSE995447721178
SEE975247990820,BESS Wertheim,In Planung,Baden-Württemberg,,Batterie,524,727,15500.0,15500.0,40120.0,SSE973151099486
SEE978423585698,BESS UW Heessen,In Planung,Nordrhein-Westfalen,,Batterie,524,727,15456.0,15456.0,29736.0,SSE988092821706
SEE902226350702,BESS Leer Nord,In Betrieb,Niedersachsen,/Date(1776211200000)/,Batterie,524,727,15360.0,15360.0,31304.0,SSE972978919854
SEE964940893804,GBS KW Walsum,In Betrieb,Nordrhein-Westfalen,/Date(1475193600000)/,Batterie,524,727,15000.0,15000.0,15000.0,SSE958726175123
SEE971138728251,GBS KW Herne,In Betrieb,Nordrhein-Westfalen,/Date(1472342400000)/,Batterie,524,727,15000.0,15000.0,15000.0,SSE956487017720
SEE929118002006,Batteriespeicher Prinzhöfte,In Betrieb,Niedersachsen,/Date(1780531200000)/,Batterie,524,727,15000.0,15000.0,30000.0,SSE966488963551
SEE999749964561,BESS Harzgerode,In Planung,Sachsen-Anhalt,,Batterie,524,727,15000.0,15000.0,50150.0,SSE900870727949
SEE973349507359,trlyr 5,In Betrieb,Niedersachsen,/Date(1773100800000)/,Batterie,524,727,15000.0,15000.0,31560.0,SSE951712683459
SEE914157709399,Batteriespeicher Kunrau – UW Kunrau,In Planung,Sachsen-Anhalt,,Batterie,524,727,15000.0,15000.0,30000.0,SSE949123193339
SEE908096553144,GBS 2 KW Bexbach,In Betrieb,Saarland,/Date(1470614400000)/,Batterie,524,727,15000.0,15000.0,15000.0,SSE915355479251
SEE941708872783,GBS KW Weiher,In Betrieb,Saarland,/Date(1472342400000)/,Batterie,524,727,15000.0,15000.0,15000.0,SSE920756375613
SEE933095868289,Batteriespeicherkraftwerk,In Betrieb,Schleswig-Holstein,/Date(1557705600000)/,Batterie,524,727,15000.0,15000.0,15000.0,SSE926907749890
SEE924359414137,Batteriespeicher Dießen,In Planung,Bayern,,Batterie,524,727,15000.0,15000.0,32000.0,SSE946849873095
SEE966758284447,Terra One Energy Grid 2 GmbH,In Planung,Niedersachsen,,Batterie,524,727,15000.0,15000.0,30000.0,SSE933308083904
SEE990521990150,GBS KW Bexbach,In Betrieb,Saarland,/Date(1474761600000)/,Batterie,524,727,15000.0,15000.0,15000.0,SSE932353107191
SEE947245249934,Batteriespeicher Reisgang,In Betrieb,Bayern,/Date(1769472000000)/,Batterie,524,727,15120.0,15000.0,30000.0,SSE947486567866
SEE958712241351,Batteriespeicher Marktleugast,In Betrieb,Bayern,/Date(1769472000000)/,Batterie,524,727,15120.0,15000.0,30000.0,SSE980815872132
SEE919443669678,GBS KW Fenne,In Betrieb,Saarland,/Date(1475971200000)/,Batterie,524,727,15000.0,15000.0,15000.0,SSE944760568557
SEE916187786777,BESS Bergtheim,In Planung,Bayern,,Batterie,524,727,15000.0,15000.0,30000.0,SSE945694447970
SEE920046158025,GS Solargarten,In Betrieb,Hessen,/Date(1765756800000)/,Batterie,524,732,14200.0,14200.0,27648.0,SSE975485095998
SEE953605889740,Batteriespeicher Herrenhausen,In Betrieb,Niedersachsen,/Date(1498608000000)/,Batterie,524,727,14000.0,14000.0,17500.0,SSE902773077886
SEE961989517128,Bad Düben Battery Storage,In Betrieb,Sachsen,/Date(1665964800000)/,Batterie,524,727,13883.0,13883.0,16028.0,SSE966531784430
SEE932907515472,Elsteraue Battery Storage,In Betrieb,Sachsen-Anhalt,/Date(1668729600000)/,Batterie,524,727,13800.0,13800.0,13800.0,SSE913613213043
SEE967700439199,BESS Quedlinburg,In Betrieb,Sachsen-Anhalt,/Date(1766102400000)/,Batterie,524,727,13800.0,13800.0,29760.0,SSE993551272579
SEE902932530221,Second Foundation BESS Oberröblingen,In Betrieb,Sachsen-Anhalt,/Date(1753747200000)/,Batterie,524,727,13800.0,13800.0,29820.0,SSE903339172984
SEE989462539771,BESS Groß Laasch,In Betrieb,Mecklenburg-Vorpommern,/Date(1777248000000)/,Batterie,524,727,13416.0,13416.0,26832.0,SSE955055871337
SEE910033689748,Stromspeicher – Bad Orb,In Betrieb,Hessen,/Date(1783641600000)/,Batterie,524,727,13416.0,13416.0,26832.0,SSE940436557245
SEE975689801395,BESS Brietlingen,In Planung,Niedersachsen,,Batterie,524,727,13272.0,13272.0,26544.0,SSE955193344939
SEE921637592464,trlyr 31,In Betrieb,Niedersachsen,/Date(1784073600000)/,Batterie,524,727,13170.0,13170.0,28380.0,SSE932534118145
SEE964935494047,Batteriespeicher Würges,In Planung,Hessen,,Batterie,524,727,13000.0,13000.0,20000.0,SSE996040241940
SEE913720929677,Gumtow_SO1 Speicher,In Betrieb,Brandenburg,/Date(1786492800000)/,Batterie,524,727,12780.0,12780.0,25075.0,SSE915541531398
SEE943817698612,Gumtow_SO4 Speicher,In Betrieb,Brandenburg,/Date(1786492800000)/,Batterie,524,727,12780.0,12780.0,25075.0,SSE976789473147
SEE971669294270,Hesweiler 1.1 Speicher,In Betrieb,Rheinland-Pfalz,/Date(1784678400000)/,Batterie,524,727,12780.0,12780.0,22360.0,SSE941439993948
SEE984190254156,Zell 1.1 Speicher,In Betrieb,Rheinland-Pfalz,/Date(1781654400000)/,Batterie,524,727,12780.0,12780.0,22360.0,SSE981559706868
SEE991039363757,Gersthofen BS1,In Betrieb,Bayern,/Date(1748822400000)/,Batterie,524,727,12520.0,12520.0,12140.0,SSE973090689571
SEE940316838242,Batteriespeicher,In Betrieb,Bayern,/Date(1553040000000)/,Batterie,524,727,12500.0,12500.0,10690.0,SSE978006940074
SEE912233494436,Speicher Roitzsch,In Planung,Sachsen-Anhalt,,Batterie,524,727,12500.0,12500.0,25000.0,SSE965077138295
SEE907315793415,Kyon-50 Battery Storage,In Planung,Nordrhein-Westfalen,,Batterie,524,727,12420.0,12420.0,29300.0,SSE970629739257
